topic,meaning,hint,masked_meaning,hint_vi
Vehicles,Thước kẻ,,T***c **,"Dụng cụ có các vạch chia khoảng cách, dùng để đo chiều dài hoặc kẻ đường thẳng."
Vehicles,Bát phở,,B*t p*ở,"Món ăn truyền thống nổi tiếng của Việt Nam, gồm bánh trắng mềm và nước dùng từ xương."
Vehicles,Bánh mì kẹp,,B**h ** k*p,"Món ăn nhanh phổ biến, là một ổ bánh mì được xẻ đôi, nhồi nhân thịt, chả, pate."
Vehicles,Cốc chè,,C*c c*è,"Món đồ uống giải khát ngọt ngào, phổ biến vào mùa hè, gồm nhiều loại đậu và trân châu."
Vehicles,Cái chổi,,C*i c**i,"Vật dụng quen thuộc làm từ rơm, đót hoặc nhựa, dùng để quét sạch rác rưởi trên sàn nhà."
Vehicles,Đồ hót rác,,** h*t r*c,"Dụng cụ nhỏ cầm tay thường đi kèm với chổi, dùng để thu gom rác đem đổ."
Vehicles,Cây lau nhà,,C*y l*u n*à,"Dụng cụ có cán dài và đầu bằng vải hoặc sợi, dùng để thấm nước làm sạch nền nhà."
Vehicles,Cái xô,,C*i **,"Đồ chứa hình trụ, có quai xách vòng, thường dùng xách nước dọn dẹp."
Vehicles,Con dao,,C*n d*o,"Dụng cụ nhà bếp có lưỡi sắc bén, cán vừa vặn thường xén làm thịt đồ."
Vehicles,Cái thớt,,C*i t**t,Miếng bằng gỗ dày chịu dao khập kênh chặt lát lên củ quả thái nhỏ.
Household Items,Điều hòa,,Đ**u h*a,"Thiết bị giúp thay đổi nhiệt độ trong phòng, thường dùng để làm mát vào mùa hè."
Household Items,Tai nghe,,T*i n**e,Thiết bị đeo vào tai để nghe âm thanh mà không làm phiền người xung quanh.
Household Items,Loa,,L*a,Thiết bị dùng để phát âm thanh ra bên ngoài cho nhiều người cùng nghe.
Household Items,Gương,,G***g,"Vật dụng bằng kính có khả năng phản chiếu hình ảnh, dùng để soi."
Household Items,Thảm,,T**m,Tấm vải dày trải trên sàn nhà để giữ ấm chân và trang trí.
Household Items,Gối,,G*i,"Vật dụng êm ái thường bọc vải, chứa bông bên trong để kê đầu khi ngủ."
Household Items,Chăn,,C**n,Tấm vải rộng và dày dùng để đắp lên người giữ ấm khi ngủ.
Household Items,Bức tranh,,B*c t***h,"Tác phẩm nghệ thuật được vẽ hoặc in, thường đóng khung treo trên tường để trang trí."
Household Items,Đèn chùm,,Đ*n c**m,"Thiết bị chiếu sáng có nhiều bóng, thiết kế cầu kỳ và treo chính giữa trần nhà."
Household Items,Con lợn,,C*n l*n,"Loài gia súc có thân hình mập mạp, mũi to, thường kêu ụt ịt."
Household Items,Con vịt,,C*n v*t,"Loài gia cầm có mỏ bẹt, chân có màng, bơi giỏi và kêu cạp cạp."
Household Items,Con kiến,,C*n k**n,"Loài côn trùng rất nhỏ, sống thành đàn có tính kỷ luật cao và vô cùng chăm chỉ."
Household Items,Con muỗi,,C*n m**i,Loài côn trùng hay bay vo ve vào ban đêm và hút máu người.
Household Items,Tên người dùng,,T*n n***i d**g,Biệt danh dùng để định danh tài khoản khi đăng nhập vào một hệ thống.
Household Items,Đồng phục,,Đ**g p**c,Trang phục giống nhau được quy định mặc khi đến trường.
Household Items,Giáo dục,,G**o d*c,"Quá trình đào tạo, rèn luyện đạo đức và trí tuệ cho con người."
Household Items,Mì,,**,"Món ăn dạng sợi dài, thường làm từ bột gạo hoặc bột mì."
Household Items,Hạt tiêu,,H*t t**u,"Gia vị hạt nhỏ màu đen xay nhuyễn, dùng để tạo mùi thơm và vị cay nồng."
Household Items,Cà phê,,** p*ê,"Thức uống màu đen chiết xuất từ hạt rang, chứa caffeine giúp tỉnh táo."
Household Items,Tai nghe chống ồn,,T*i n**e c***g **,Chụp lên tai và ngắt tiếng xì xào xung quanh cho âm thanh tinh khiết.
Household Items,Đường,,Đ***g,"Gia vị dạng hạt nhỏ chiết xuất từ cây mía, mang lại vị ngọt."
Household Items,Ô tô,,* **,"Phương tiện giao thông bốn bánh chạy bằng động cơ, có buồng kín chở được nhiều người."
Household Items,Xe tải nhỏ,,** t*i n*ỏ,Loại xe ô tô có không gian khoang sau rộng rãi (van) để chở một lượng hàng hóa vừa phải.
Household Items,Phà,,P*à,Phương tiện tàu thuyền chuyên dụng chở khách và xe cộ qua một khúc sông rộng.
Household Items,Tàu đệm,,T*u đ*m,"Phương tiện di chuyển lướt trên lớp đệm không khí, đi được cả trên cạn lẫn mặt nước."
Household Items,Tên lửa,,T*n l*a,Phương tiện vận tốc cực lớn được phóng lên để bay ra ngoài không gian.
Household Items,Chiếu cói,,C***u c*i,"Đồ dệt từ thân thực vật thành tấm, rải dưới đất ngủ cho mát mẻ."
Household Items,Ngọn cỏ,,N**n **,"Phần trên cùng của cây xanh non mềm, vươn lên mọc mặt đất ánh sáng."
Household Items,Giọt sương,,G**t s***g,Tinh thể lỏng đọng trên chiếc lá mịn lúc sớm mai khi trời yên ả.
Household Items,Bát bún,,B*t b*n,"Món ăn làm từ sợi bột gạo tròn mềm mát, thường chan nước dùng hoặc trộn mắm chua ngọt."
